id,igralec,ekipa,odigrane_igre,minute_natekmo,toèke_na_tekmo,met_iz_igre,trojke,prosti_meti
3064511,Andrew Harrison,MEM,72,20.5,5.9,325,276,763
2531047,Jerian Grant,CHI,63,16.3,5.9,425,366,890
2528393,Tarik Black,LAL,67,16.3,5.7,512,500,752
2990962,Taurean Prince,ATL,59,16.6,5.7,400,324,787
3232,Jason Smith,WSH,74,14.4,5.7,529,474,686
1006,Richard Jefferson,CLE,79,20.4,5.7,446,333,741
3074752,Terry Rozier,BOS,74,17.1,5.5,367,318,773
2991070,Jerami Grant,PHI/OKC,80,19.1,5.5,463,371,612
6605,Meyers Leonard,POR,74,16.5,5.4,386,347,875
2959753,Joffrey Lauvergne,CHI/OKC,70,14.0,5.4,440,337,630
2282205,Malcolm Delaney,ATL,73,17.1,5.4,374,236,806
2326015,Willie Reed,MIA,71,14.5,5.3,568,250,557
3003,Randy Foye,BKN,69,18.6,5.2,363,330,857
2393,Shaun Livingston,GS,76,17.7,5.1,547,333,700
2580913,Dewayne Dedmon,SA,76,17.5,5.1,622,0,699
3192,Aaron Brooks,IND,65,13.8,5.0,403,375,800
4017839,Juan Hernangomez,DEN,62,13.6,4.9,451,407,750
2995706,Mario Hezonja,ORL,65,14.8,4.9,355,299,800
2968439,Aron Baynes,DET,75,15.5,4.9,513,0,840
3113587,Cristiano Felicio,CHI,66,15.8,4.8,579,0,645
4250,Luke Babbitt,MIA,68,15.7,4.8,402,414,733
2177,David West,GS,68,12.6,4.6,536,375,768
2167,Boris Diaw,UTAH,73,17.6,4.6,446,247,743
3277,C.J. Watson,ORL,62,16.3,4.5,387,305,864
3191,Corey Brewer,HOU/LAL,82,15.6,4.5,422,229,735
6426,Davis Bertans,SA,67,12.1,4.5,440,399,824
3078284,Noah Vonleh,POR,74,17.1,4.4,481,350,638
3134881,Stanley Johnson,DET,77,17.8,4.4,353,292,679
2578185,Dorian Finney-Smith,DAL,81,20.3,4.3,372,293,754
841,Jason Terry,MIL,74,18.4,4.1,432,427,828
3137730,Patrick McCaw,GS,71,15.1,4.0,433,333,784
3998,Jonas Jerebko,BOS,78,15.8,3.8,435,346,703
2991139,Kris Dunn,MIN,78,17.1,3.8,377,288,610
3135046,Tyus Jones,MIN,60,12.9,3.5,414,356,767
2993874,Kyle Anderson,SA,72,14.2,3.4,445,375,789
2968458,Salah Mejri,DAL,73,12.4,2.9,642,333,590
6424,Lavoy Allen,IND,61,14.3,2.9,458,0,697
2983526,Semaj Christon,OKC,64,15.2,2.9,345,190,548
4247,Wesley Johnson,LAC,68,11.9,2.7,365,246,647
6453,DeAndre Liggins,CLE/DAL,62,12.5,2.5,387,370,625
4267,Cole Aldrich,MIN,62,8.6,1.7,523,0,682
2799,Lou Williams,HOU/LAL,81,24.6,17.5,429,365,880
2983,LaMarcus Aldridge,SA,72,32.4,17.3,477,411,812
6588,Evan Fournier,ORL,68,32.9,17.2,439,356,805
4262,Hassan Whiteside,MIA,77,32.6,17.0,557,0,628
3112335,Nikola Jokic,DEN,73,27.9,16.7,578,324,825
3431,Eric Gordon,HOU,75,31.0,16.2,406,372,840
6440,Tobias Harris,DET,82,31.3,16.1,481,347,841
2527963,Victor Oladipo,OKC,67,33.2,15.9,442,361,753
3194,Wilson Chandler,DEN,71,30.9,15.7,461,337,727
3136776,D'Angelo Russell,LAL,63,28.7,15.6,405,352,782
3995,Jrue Holiday,NO,67,32.7,15.4,454,356,708
4015,Jeff Teague,IND,82,32.4,15.3,442,357,867
3416,Nicolas Batum,CHA,77,34.0,15.1,403,333,856
3024,JJ Redick,LAC,78,28.2,15.0,445,429,891
3439,Serge Ibaka,ORL/TOR,79,30.7,14.8,480,391,856
2528426,Jordan Clarkson,LAL,82,29.2,14.7,445,329,798
6478,Nikola Vucevic,ORL,75,28.8,14.6,468,307,669
3133628,Myles Turner,IND,81,31.4,14.5,511,348,809
2528210,Tim Hardaway Jr.,ATL,79,27.3,14.5,455,357,766
2982334,TJ Warren,PHX,66,31.0,14.4,495,265,773
6447,Enes Kanter,OKC,72,21.3,14.3,545,132,786
1017,Zach Randolph,MEM,73,24.5,14.1,449,223,731
3032976,Rudy Gobert,UTAH,81,33.9,14.0,661,0,653
3213,Al Horford,BOS,68,32.3,14.0,473,355,800
6462,Marcus Morris,DET,79,32.5,14.0,418,331,784
6461,Markieff Morris,WSH,76,31.2,14.0,457,362,837
6581,Jae Crowder,BOS,72,32.4,13.9,463,398,811
2581018,Kentavious Caldwell-Pope,DET,76,33.3,13.8,399,350,832
3593,Bojan Bogdanovic,BKN/WSH,81,25.7,13.7,445,367,893
2530276,Tyler Johnson,MIA,73,29.8,13.7,433,372,768
6579,Will Barton,DEN,60,28.4,13.7,443,370,753
6585,Andre Drummond,DET,81,29.7,13.6,530,286,386
3412,Ryan Anderson,HOU,72,29.4,13.6,418,403,860
2384,Dwight Howard,ATL,74,29.7,13.5,633,0,533
4032,Wesley Matthews,DAL,73,34.2,13.5,393,363,816
2594922,Otto Porter Jr.,WSH,80,32.6,13.4,516,434,832
3973,Darren Collison,SAC,68,30.3,13.2,476,417,860
3243,Nick Young,LAL,60,25.9,13.2,430,404,856
3064514,Julius Randle,LAL,74,28.8,13.2,487,270,723
2488689,Sean Kilpatrick,BKN,70,25.1,13.1,415,341,843
2767,Ersan Ilyasova,ATL/PHI/OKC,82,26.1,13.1,431,353,778
2490620,Robert Covington,PHI,67,31.6,12.9,399,333,822
3032978,Dario Saric,PHI,81,26.3,12.8,411,311,782
3999,James Johnson,MIA,76,27.4,12.8,479,340,707
2326307,Seth Curry,DAL,70,29.0,12.8,481,425,850
2583639,Elfrid Payton,ORL,82,29.4,12.8,471,274,692
3064290,Aaron Gordon,ORL,80,28.7,12.7,454,288,719
3442,DeAndre Jordan,LAC,81,31.7,12.7,714,0,482
2581177,Rodney Hood,UTAH,59,27.0,12.7,408,371,783
3102529,Clint Capela,HOU,65,23.9,12.6,643,0,531
996,Pau Gasol,SA,64,25.4,12.4,502,538,707
165,Jamal Crawford,LAC,82,26.3,12.3,413,360,857
6617,Austin Rivers,LAC,74,27.8,12.0,442,371,691
6477,Jonas Valanciunas,TOR,80,25.8,12.0,557,500,811
4260,Greg Monroe,MIL,81,22.5,11.7,534,0,741
2426,Trevor Ariza,HOU,80,34.7,11.7,409,344,738
